City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Staryy Nadym,RU,2022-04-25 20:28:51,65.6118,72.6842,11.98,96,44,6.89
213,Rio Tercero,AR,2022-04-25 20:28:52,-32.173,-64.1141,77.45,36,0,7.16
214,Lata,PT,2022-04-25 20:25:58,40.1629,-8.3327,58.82,82,59,1.52
215,Dikson,RU,2022-04-25 20:28:52,73.5069,80.5464,4.41,100,100,2.71
216,Cherskiy,RU,2022-04-25 20:28:53,68.75,161.3,23.49,75,100,3.2
217,Tual,ID,2022-04-25 20:28:54,-5.6667,132.75,83.26,72,100,4.12
218,Odweyne,SO,2022-04-25 20:28:54,9.4092,45.064,70.52,62,100,0.6
219,Kingisepp,RU,2022-04-25 20:28:55,59.3733,28.6134,38.41,96,100,3.83
220,Mineros,BO,2022-04-25 20:28:55,-17.1167,-63.2333,87.73,54,99,10.25
221,Krasnoselkup,RU,2022-04-25 20:28:56,65.7,82.4667,-4.18,100,46,4.12
222,Loubomo,CG,2022-04-25 20:29:56,-4.1997,12.6739,75.16,90,100,1.68
223,Saldanha,ZA,2022-04-25 20:29:57,-33.0117,17.9442,53.65,77,0,16.26
224,Sao Filipe,CV,2022-04-25 20:29:57,14.8961,-24.4956,76.64,64,4,11.03
225,Bondeno,IT,2022-04-25 20:29:57,44.8862,11.4108,59.29,81,97,1.99
226,El Mante,MX,2022-04-25 20:29:58,22.7333,-98.9667,94.35,33,20,10.27
227,Ryotsu,JP,2022-04-25 20:29:58,38.0833,138.4333,60.66,71,100,2.59
228,Rosetta,EG,2022-04-25 20:29:58,31.4044,30.4164,63.88,78,18,8.5
229,Port Elizabeth,ZA,2022-04-25 20:25:07,-33.918,25.5701,59.29,85,0,11.5
230,Aguimes,ES,2022-04-25 20:29:59,27.9054,-15.4461,66.83,64,75,8.05
231,Nuuk,GL,2022-04-25 20:29:59,64.1835,-51.7216,32.61,74,75,5.75
232,Dosso,NE,2022-04-25 20:29:59,13.049,3.1937,92.16,8,100,6.31
233,Kokkola,FI,2022-04-25 20:30:00,63.8385,23.1307,37.04,90,40,2.3
234,Arraial Do Cabo,BR,2022-04-25 20:30:00,-22.9661,-42.0278,76.96,69,20,11.5
235,Portland,US,2022-04-25 20:25:32,45.5234,-122.6762,59.56,81,100,3.44
236,Narsaq,GL,2022-04-25 20:30:01,60.9167,-46.05,46.62,79,93,0.81
237,Galle,LK,2022-04-25 20:30:02,6.0367,80.217,79.23,82,69,2.64
238,Nuqui,CO,2022-04-25 20:30:03,5.7125,-77.2708,81.37,76,98,5.82
239,Bambamarca,PE,2022-04-25 20:30:03,-6.6833,-78.5333,57.42,85,97,4.29
240,Manzanillo,CU,2022-04-25 20:30:04,20.3433,-77.1167,80.85,64,74,10.0
241,Chapleau,CA,2022-04-25 20:30:05,47.8405,-83.4034,42.89,70,100,11.5
242,Charters Towers,AU,2022-04-25 20:30:06,-20.1,146.2667,68.95,96,100,15.59
243,Alice Springs,AU,2022-04-25 20:30:07,-23.7,133.8833,51.35,100,80,0.0
244,Pleshanovo,RU,2022-04-25 20:30:07,52.8333,53.4833,52.41,79,99,7.25
245,Vanavara,RU,2022-04-25 20:30:08,60.34,102.2797,27.52,95,100,3.96
246,Marsabit,KE,2022-04-25 20:30:08,2.3284,37.9899,71.22,60,100,7.38
247,Tazovskiy,RU,2022-04-25 20:30:09,67.4667,78.7,2.59,97,89,6.85
248,Katobu,ID,2022-04-25 20:30:09,-4.9408,122.5276,74.44,93,13,1.34
249,Kota Bahru,MY,2022-04-25 20:30:09,6.1333,102.2386,78.75,94,20,3.44
250,Akyab,MM,2022-04-25 20:30:10,20.15,92.9,82.33,80,22,5.1
251,Rio Gallegos,AR,2022-04-25 20:25:19,-51.6226,-69.2181,42.85,93,75,16.11
252,Kodiak,US,2022-04-25 20:30:10,57.79,-152.4072,45.91,49,0,9.22
253,Marzuq,YE,2022-04-25 20:30:11,14.4,46.4667,75.6,56,100,3.69
254,Encheng,CN,2022-04-25 20:30:11,22.1839,112.3026,75.65,97,11,4.07
255,Takoradi,GH,2022-04-25 20:30:11,4.8845,-1.7554,79.92,87,16,6.13
256,Payakumbuh,ID,2022-04-25 20:30:12,-0.2202,100.6308,70.59,97,100,3.31
257,Gimli,CA,2022-04-25 20:29:44,50.6336,-96.9907,21.22,73,100,20.71
258,Teshie,GH,2022-04-25 20:30:12,5.5836,-0.1072,82.96,83,0,3.44
259,Japura,ID,2022-04-25 20:30:13,-0.3167,102.35,74.71,97,99,2.37
260,Marsa Matruh,EG,2022-04-25 20:30:13,31.3525,27.2453,62.8,88,0,4.61
261,High Level,CA,2022-04-25 20:25:24,58.5169,-117.136,46.51,49,75,14.97
262,Monrovia,LR,2022-04-25 20:30:14,6.3005,-10.7969,80.37,84,99,10.27
263,Raga,SS,2022-04-25 20:30:14,8.4596,25.678,78.03,64,74,3.87
264,Grindavik,IS,2022-04-25 20:30:14,63.8424,-22.4338,45.07,81,100,5.75
265,Ljubuski,BA,2022-04-25 20:26:08,43.1969,17.545,56.62,80,1,2.1
266,Kieta,PG,2022-04-25 20:30:15,-6.2167,155.6333,80.53,80,58,0.63
267,Amapa,BR,2022-04-25 20:30:15,1.0,-52.0,75.99,97,99,3.04
268,Hokitika,NZ,2022-04-25 20:30:16,-42.7167,170.9667,54.28,75,47,3.11
269,Ishigaki,JP,2022-04-25 20:30:17,24.3448,124.1572,78.93,100,75,10.36
270,Shimoda,JP,2022-04-25 20:30:18,34.6667,138.95,63.1,90,100,1.36
271,Wakkanai,JP,2022-04-25 20:31:18,45.4094,141.6739,44.8,72,84,9.78
272,Belaya Gora,RU,2022-04-25 20:31:18,68.5333,146.4167,7.95,93,80,1.83
273,Catamarca,AR,2022-04-25 20:31:19,-28.4696,-65.7852,91.78,29,0,5.01
274,Esmeraldas,BR,2022-04-25 20:31:19,-19.7625,-44.3139,79.84,50,85,8.81
275,Ylivieska,FI,2022-04-25 20:31:19,64.0833,24.55,38.88,97,99,4.65
276,Hammerfest,NO,2022-04-25 20:31:20,70.6634,23.6821,27.05,86,100,11.5
277,Nouadhibou,MR,2022-04-25 20:31:20,20.931,-17.0347,66.18,94,0,14.97
278,Omboue,GA,2022-04-25 20:31:21,-1.5746,9.2618,78.37,90,100,5.64
279,Moose Factory,CA,2022-04-25 20:31:21,51.2585,-80.6094,46.4,71,100,18.41
280,Vostok,RU,2022-04-25 20:31:21,46.4856,135.8833,39.25,75,100,5.46
281,Taltal,CL,2022-04-25 20:30:33,-25.4,-70.4833,65.3,81,42,6.31
282,Trinidad,BO,2022-04-25 20:31:22,-14.8333,-64.9,87.78,70,75,5.75
283,Paciran,ID,2022-04-25 20:31:22,-6.8767,112.3761,78.69,85,80,3.51
284,Floriano,BR,2022-04-25 20:31:22,-6.7669,-43.0225,82.2,56,12,2.71
285,Ayr,GB,2022-04-25 20:31:23,55.4627,-4.6339,49.98,62,20,8.05
286,Zeya,RU,2022-04-25 20:31:23,53.75,127.2667,28.38,65,100,5.55
287,La Ronge,CA,2022-04-25 20:31:24,55.1001,-105.2842,35.82,25,0,11.5
288,Bone,DE,2022-04-25 20:31:24,51.9669,12.1396,50.86,74,99,4.41
289,Atambua,ID,2022-04-25 20:31:24,-9.1061,124.8925,69.82,73,80,3.27
290,Ayorou,NE,2022-04-25 20:31:25,14.7308,0.9174,88.97,10,8,12.48
291,Uribia,CO,2022-04-25 20:31:25,11.7139,-72.266,86.56,55,100,8.7
292,Tahoua,NE,2022-04-25 20:31:25,14.8888,5.2692,89.91,10,97,10.31
